productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
630828,Team Rocket's Porygon-Z,Porygon-Z,https://tcgplayer-cdn.tcgplayer.com/product/630828_200w.jpg,3,24269,https://cpt.tcgcsv.com/Bl37,2026-02-09T16:12:48.147,1,"<strong>Ability: Reconstitute</strong> You must discard 2 cards from your hand in order to use this Ability. Once during your turn, you may draw a card.",0.01,0.38,19.99,0.38,0.1,Reverse Holofoil,,155/182,Uncommon,Colorless,140,Stage 2,"[CC] R Command (20x)<br> This attack does 20 damage for each Supporter card that has ""Team Rocket"" in its name in your discard pile.",Fx2,1,,
630828,Team Rocket's Porygon-Z,Porygon-Z,https://tcgplayer-cdn.tcgplayer.com/product/630828_200w.jpg,3,24269,https://cpt.tcgcsv.com/Bl37,2026-02-09T16:12:48.147,1,"<strong>Ability: Reconstitute</strong> You must discard 2 cards from your hand in order to use this Ability. Once during your turn, you may draw a card.",0.01,0.21,19.98,0.22,0.1,Normal,,155/182,Uncommon,Colorless,140,Stage 2,"[CC] R Command (20x)<br> This attack does 20 damage for each Supporter card that has ""Team Rocket"" in its name in your discard pile.",Fx2,1,,
630829,Spikemuth Gym,None,https://tcgplayer-cdn.tcgplayer.com/product/630829_200w.jpg,3,24269,https://cpt.tcgcsv.com/Cl37,2026-03-24T14:19:28.497,1,"Once during each player's turn, that player may search their deck for a Marnie's Pokémon, reveal it, and put it into their hand. Then, that player shuffles their deck.",0.01,0.2,19.98,0.17,0.1,Normal,,169/182,Uncommon,Trainer - Stadium,,,,,,,
630829,Spikemuth Gym,None,https://tcgplayer-cdn.tcgplayer.com/product/630829_200w.jpg,3,24269,https://cpt.tcgcsv.com/Cl37,2026-03-24T14:19:28.497,1,"Once during each player's turn, that player may search their deck for a Marnie's Pokémon, reveal it, and put it into their hand. Then, that player shuffles their deck.",0.01,0.35,19.98,0.34,0.35,Reverse Holofoil,,169/182,Uncommon,Trainer - Stadium,,,,,,,
630830,Team Rocket's Giovanni,Team Rocket,https://tcgplayer-cdn.tcgplayer.com/product/630830_200w.jpg,3,24269,https://cpt.tcgcsv.com/Dl37,2026-02-24T18:23:59.057,1,"Switch your Active Team Rocket's Pokémon with 1 of your Benched Team Rocket's Pokémon. If you do, switch in 1 of your opponent's Benched Pokémon to the Active Spot.",0.01,0.25,19.98,0.24,0.1,Normal,,174/182,Uncommon,Trainer - Supporter,,,,,,,
630830,Team Rocket's Giovanni,Team Rocket,https://tcgplayer-cdn.tcgplayer.com/product/630830_200w.jpg,3,24269,https://cpt.tcgcsv.com/Dl37,2026-02-24T18:23:59.057,1,"Switch your Active Team Rocket's Pokémon with 1 of your Benched Team Rocket's Pokémon. If you do, switch in 1 of your opponent's Benched Pokémon to the Active Spot.",0.01,0.34,19.98,0.31,0.28,Reverse Holofoil,,174/182,Uncommon,Trainer - Supporter,,,,,,,
632829,Ethan's Pinsir,Pinsir,https://tcgplayer-cdn.tcgplayer.com/product/632829_200w.jpg,3,24269,https://cpt.tcgcsv.com/C857,2026-02-16T12:49:48.417,1,,0.01,0.15,69.5,0.12,0.01,Normal,,001/182,Uncommon,Grass,120,Basic,[G] Vise Grip (20),Rx2,2,"[CCC] Rallying Horn (70+)<br> If any of your Ethan's Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 100 more damage.",
632829,Ethan's Pinsir,Pinsir,https://tcgplayer-cdn.tcgplayer.com/product/632829_200w.jpg,3,24269,https://cpt.tcgcsv.com/C857,2026-02-16T12:49:48.417,1,,0.08,0.31,19.98,0.32,0.3,Reverse Holofoil,,001/182,Uncommon,Grass,120,Basic,[G] Vise Grip (20),Rx2,2,"[CCC] Rallying Horn (70+)<br> If any of your Ethan's Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 100 more damage.",
632830,Yanma - 002/182,Yanma,https://tcgplayer-cdn.tcgplayer.com/product/632830_200w.jpg,3,24269,https://cpt.tcgcsv.com/D857,2026-02-09T16:16:36.49,1,,0.01,0.15,19.98,0.16,0.01,Normal,,002/182,Common,Grass,70,Basic,[C] Whirlwind<br> Switch out your opponent's Active Pokémon to the Bench. <em>(Your opponent chooses the new Active Pokémon.)</em>,Lx2,1,[GC] Razor Wing (30),F-30
632830,Yanma - 002/182,Yanma,https://tcgplayer-cdn.tcgplayer.com/product/632830_200w.jpg,3,24269,https://cpt.tcgcsv.com/D857,2026-02-09T16:16:36.49,1,,0.01,0.23,20.0,0.24,0.1,Reverse Holofoil,,002/182,Common,Grass,70,Basic,[C] Whirlwind<br> Switch out your opponent's Active Pokémon to the Bench. <em>(Your opponent chooses the new Active Pokémon.)</em>,Lx2,1,[GC] Razor Wing (30),F-30
632831,Yanmega ex - 003/182,Yanmega,https://tcgplayer-cdn.tcgplayer.com/product/632831_200w.jpg,3,24269,https://cpt.tcgcsv.com/F857,2026-02-10T00:45:27.86,1,"<strong>Ability: Buzzing Boost</strong> Once during your turn, when this Pokémon moves from your Bench to the Active Spot, you may search your deck for up to 3 Basic Grass Energy cards and attach them to this Pokémon. Then, shuffle your deck.",0.19,0.75,4321.0,0.6,1.0,Holofoil,,003/182,Double Rare,Grass,280,Stage 1,[GGGC] Jet Cyclone (210)<br> Move 3 Energy from this Pokémon to 1 of your Benched Pokémon.,Lx2,1,,F-30
632832,Pineco,Pineco,https://tcgplayer-cdn.tcgplayer.com/product/632832_200w.jpg,3,24269,https://cpt.tcgcsv.com/G857,2026-02-13T17:08:18.323,1,,0.01,0.19,19.98,0.13,0.07,Reverse Holofoil,,004/182,Common,Grass,70,Basic,[C] Hang Down (10),Rx2,2,,
632832,Pineco,Pineco,https://tcgplayer-cdn.tcgplayer.com/product/632832_200w.jpg,3,24269,https://cpt.tcgcsv.com/G857,2026-02-13T17:08:18.323,1,,0.01,0.14,69.5,0.08,0.01,Normal,,004/182,Common,Grass,70,Basic,[C] Hang Down (10),Rx2,2,,
632833,Shroomish,Shroomish,https://tcgplayer-cdn.tcgplayer.com/product/632833_200w.jpg,3,24269,https://cpt.tcgcsv.com/H857,2026-02-13T17:09:11.31,1,,0.01,0.13,19.98,0.04,0.01,Normal,,005/182,Common,Grass,60,Basic,[CC] Rolling Tackle (30),Rx2,1,,
632833,Shroomish,Shroomish,https://tcgplayer-cdn.tcgplayer.com/product/632833_200w.jpg,3,24269,https://cpt.tcgcsv.com/H857,2026-02-13T17:09:11.31,1,,0.01,0.18,19.98,0.11,0.01,Reverse Holofoil,,005/182,Common,Grass,60,Basic,[CC] Rolling Tackle (30),Rx2,1,,
632834,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/632834_200w.jpg,3,24269,https://cpt.tcgcsv.com/J857,2026-02-16T15:25:13.787,1,,0.01,0.18,25.0,0.09,0.05,Reverse Holofoil,,006/182,Common,Grass,120,Stage 1,[CC] Damage Rush (30+)<br> Flip a coin until you get tails. This attack does 50 more damage for each heads.,Rx2,2,[GCC] Mega Drain (90)<br> Heal 30 damage from this Pokémon.,
632834,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/632834_200w.jpg,3,24269,https://cpt.tcgcsv.com/J857,2026-02-16T15:25:13.787,1,,0.01,0.13,19.98,0.05,0.01,Normal,,006/182,Common,Grass,120,Stage 1,[CC] Damage Rush (30+)<br> Flip a coin until you get tails. This attack does 50 more damage for each heads.,Rx2,2,[GCC] Mega Drain (90)<br> Heal 30 damage from this Pokémon.,
632835,Mow Rotom,Mow Rotom,https://tcgplayer-cdn.tcgplayer.com/product/632835_200w.jpg,3,24269,https://cpt.tcgcsv.com/K857,2026-02-09T15:49:34.947,1,,0.01,0.15,19.98,0.08,0.01,Normal,,009/182,Common,Grass,70,Basic,[G] Trimming Mower (20)<br> Discard a Stadium in play.,Rx2,1,[CC] Gadget Show (30x)<br> This attack does 30 damage for each Pokémon Tool attached to all of your Pokémon.,
632835,Mow Rotom,Mow Rotom,https://tcgplayer-cdn.tcgplayer.com/product/632835_200w.jpg,3,24269,https://cpt.tcgcsv.com/K857,2026-02-09T15:49:34.947,1,,0.01,0.22,20.0,0.22,0.1,Reverse Holofoil,,009/182,Common,Grass,70,Basic,[G] Trimming Mower (20)<br> Discard a Stadium in play.,Rx2,1,[CC] Gadget Show (30x)<br> This attack does 30 damage for each Pokémon Tool attached to all of your Pokémon.,
632836,Shaymin - 010/182,Shaymin,https://tcgplayer-cdn.tcgplayer.com/product/632836_200w.jpg,3,24269,https://cpt.tcgcsv.com/L857,2026-02-16T12:41:16.107,1,"<strong>Ability: Flower Curtain</strong> Prevent all damage done to your Benched Pokémon that don't have a Rule Box by attacks from your opponent's Pokémon. <em>(Pokémon ex, Pokémon V, etc. have Rule Boxes.)</em>",0.01,0.26,19.98,0.26,0.2,Normal,,010/182,Uncommon,Grass,80,Basic,[CC] Smash Kick (30),Rx2,1,,
632836,Shaymin - 010/182,Shaymin,https://tcgplayer-cdn.tcgplayer.com/product/632836_200w.jpg,3,24269,https://cpt.tcgcsv.com/L857,2026-02-16T12:41:16.107,1,"<strong>Ability: Flower Curtain</strong> Prevent all damage done to your Benched Pokémon that don't have a Rule Box by attacks from your opponent's Pokémon. <em>(Pokémon ex, Pokémon V, etc. have Rule Boxes.)</em>",0.15,0.66,19.98,0.56,0.56,Reverse Holofoil,,010/182,Uncommon,Grass,80,Basic,[CC] Smash Kick (30),Rx2,1,,
632837,Dwebble,Dwebble,https://tcgplayer-cdn.tcgplayer.com/product/632837_200w.jpg,3,24269,https://cpt.tcgcsv.com/M857,2026-04-13T22:39:10.253,1,,0.02,0.2,19.98,0.19,0.1,Normal,,011/182,Common,Grass,70,Basic,"[C] Ascension<br> Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.",Rx2,2,,
632837,Dwebble,Dwebble,https://tcgplayer-cdn.tcgplayer.com/product/632837_200w.jpg,3,24269,https://cpt.tcgcsv.com/M857,2026-04-13T22:39:10.253,1,,0.03,0.25,19.98,0.28,0.23,Reverse Holofoil,,011/182,Common,Grass,70,Basic,"[C] Ascension<br> Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.",Rx2,2,,
632838,Crustle - 012/182,Crustle,https://tcgplayer-cdn.tcgplayer.com/product/632838_200w.jpg,3,24269,https://cpt.tcgcsv.com/N857,2026-04-14T02:31:07.597,1,<strong>Ability: Mysterious Rock Inn</strong> Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon ex.,0.01,0.2,20.0,0.19,0.1,Holofoil,,012/182,Rare,Grass,150,Stage 1,[GCC] Superb Scissors (120)<br> This attack's damage isn't affected by any effects on your opponent's Active Pokémon.,Rx2,3,,
632838,Crustle - 012/182,Crustle,https://tcgplayer-cdn.tcgplayer.com/product/632838_200w.jpg,3,24269,https://cpt.tcgcsv.com/N857,2026-04-14T02:31:07.597,1,<strong>Ability: Mysterious Rock Inn</strong> Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon ex.,0.02,0.31,19.98,0.27,0.3,Reverse Holofoil,,012/182,Rare,Grass,150,Stage 1,[GCC] Superb Scissors (120)<br> This attack's damage isn't affected by any effects on your opponent's Active Pokémon.,Rx2,3,,
632839,Fomantis,Fomantis,https://tcgplayer-cdn.tcgplayer.com/product/632839_200w.jpg,3,24269,https://cpt.tcgcsv.com/P857,2026-02-09T15:17:27.36,1,,0.01,0.18,19.98,0.07,0.01,Reverse Holofoil,,013/182,Common,Grass,60,Basic,[G] Cut Up (20),Rx2,1,,
